symbol,action_type,ex_date,record_date,payment_date,amount,ratio_from,ratio_to,currency,source,confidence,notes
ACCESSCORP,CASH_DIVIDEND,2020-09-18,2020-09-17,2020-09-28,0.25,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2021-04-16,2021-04-15,2021-04-30,0.55,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2021-09-17,2021-09-16,2021-09-29,0.3,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2022-04-20,2022-04-19,2022-04-28,0.7,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2022-09-29,2022-09-28,2022-10-12,0.2,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2023-05-10,2023-05-09,2023-05-24,1.3,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2023-10-06,2023-10-05,2023-10-19,0.3,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2024-04-12,2024-04-10,2024-04-19,1.8,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2024-10-04,2024-10-03,2024-10-17,0.45,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
ACCESSCORP,CASH_DIVIDEND,2025-04-30,2025-04-29,2025-05-15,2.05,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/ACCESSCORP/dividend/
AIRTELAFRI,CASH_DIVIDEND,2020-11-12,2020-11-13,2020-12-11,5.70735,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2021-06-28,2021-06-25,2021-07-23,10.26875,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2021-11-11,2021-11-12,2021-12-10,8.219,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2022-06-23,2022-06-22,2022-07-25,12.4623,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2022-11-10,2022-11-09,2022-12-09,9.59004,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2023-06-22,2023-06-21,2023-07-26,22.57575,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2023-11-09,2023-11-08,2023-12-15,20.42611,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2024-06-24,2024-06-21,2024-07-26,53.04984,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2024-11-11,2024-11-08,2024-12-13,43.08122,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2025-06-23,2025-06-20,2025-07-25,61.971,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
AIRTELAFRI,CASH_DIVIDEND,2025-11-05,2025-11-07,2025-12-12,40.52112,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/AIRTELAFRI/dividend/
BUACEMENT,CASH_DIVIDEND,2020-09-28,2020-09-25,2020-10-23,0.0175,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/BUACEMENT/dividend/
BUACEMENT,CASH_DIVIDEND,2021-06-21,2021-06-18,2021-07-08,2.067,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/BUACEMENT/dividend/
BUACEMENT,CASH_DIVIDEND,2022-07-13,2022-07-08,2022-07-21,2.6,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/BUACEMENT/dividend/
BUACEMENT,CASH_DIVIDEND,2023-08-14,2023-08-11,2023-08-31,2.8,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/BUACEMENT/dividend/
BUACEMENT,CASH_DIVIDEND,2024-08-12,2024-08-09,2024-08-29,2.0,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/BUACEMENT/dividend/
BUACEMENT,CASH_DIVIDEND,2025-07-04,2025-07-03,2025-07-21,2.05,,,NGN,stockanalysis_2025,MEDIUM,Scraped from stockanalysis.com/quote/ngx/BUACEMENT/dividend/
