symbol,period_end_date,period_type,revenue,operating_profit,net_income,total_assets,total_equity,total_debt,cash,operating_cash_flow,capex,dividends_paid,shares_outstanding,source,currency
DANGCEM,2022-12-31,ANNUAL,1600000000000,540000000000,364000000000,2500000000000,1100000000000,400000000000,350000000000,620000000000,-150000000000,-254000000000,16873559251,annual_reports_fy2023,NGN
DANGCEM,2023-12-31,ANNUAL,2200000000000,769000000000,413000000000,3100000000000,1300000000000,550000000000,280000000000,750000000000,-180000000000,-270000000000,16873559251,annual_reports_fy2023,NGN
GTCO,2022-12-31,ANNUAL,502000000000,320000000000,206000000000,6400000000000,890000000000,700000000000,650000000000,350000000000,-25000000000,-88000000000,36550229514,annual_reports_fy2023,NGN
GTCO,2023-12-31,ANNUAL,850000000000,680000000000,612000000000,9300000000000,1500000000000,1200000000000,950000000000,520000000000,-35000000000,-150000000000,36550229514,annual_reports_fy2023,NGN
ZENITHBANK,2022-12-31,ANNUAL,765000000000,445000000000,284000000000,12000000000000,1400000000000,1800000000000,1200000000000,500000000000,-40000000000,-94000000000,41069830001,annual_reports_fy2023,NGN
ZENITHBANK,2023-12-31,ANNUAL,1300000000000,920000000000,676000000000,17400000000000,2000000000000,2500000000000,1800000000000,800000000000,-60000000000,-100000000000,41069830001,annual_reports_fy2023,NGN
MTNN,2022-12-31,ANNUAL,2000000000000,620000000000,347000000000,2300000000000,-50000000000,1200000000000,250000000000,750000000000,-380000000000,-138000000000,20995560103,annual_reports_fy2023,NGN
MTNN,2023-12-31,ANNUAL,2500000000000,730000000000,193000000000,2800000000000,-150000000000,1600000000000,320000000000,900000000000,-450000000000,-167000000000,20995560103,annual_reports_fy2023,NGN
AIRTELAFRI,2023-03-31,ANNUAL,5800000000000,2100000000000,420000000000,7500000000000,1300000000000,3200000000000,550000000000,2200000000000,-900000000000,-160000000000,3758151504,annual_reports_fy2023,NGN
AIRTELAFRI,2024-03-31,ANNUAL,9500000000000,3200000000000,580000000000,10500000000000,1800000000000,4500000000000,750000000000,3000000000000,-1200000000000,-200000000000,3758151504,annual_reports_fy2023,NGN
BUACEMENT,2022-12-31,ANNUAL,411000000000,72000000000,45000000000,1500000000000,1000000000000,200000000000,45000000000,120000000000,-60000000000,-50000000000,33864354060,annual_reports_fy2023,NGN
BUACEMENT,2023-12-31,ANNUAL,574000000000,95000000000,52000000000,1800000000000,1100000000000,250000000000,60000000000,150000000000,-80000000000,-66000000000,33864354060,annual_reports_fy2023,NGN
SEPLAT,2022-12-31,ANNUAL,720000000000,280000000000,150000000000,2800000000000,1000000000000,650000000000,180000000000,300000000000,-160000000000,-30000000000,599944561,annual_reports_fy2023,NGN
SEPLAT,2023-12-31,ANNUAL,880000000000,350000000000,189000000000,3400000000000,1200000000000,800000000000,220000000000,380000000000,-200000000000,-40000000000,599944561,annual_reports_fy2023,NGN
NESTLE,2022-12-31,ANNUAL,355000000000,62000000000,39000000000,350000000000,80000000000,120000000000,20000000000,65000000000,-20000000000,-45000000000,792656252,annual_reports_fy2023,NGN
NESTLE,2023-12-31,ANNUAL,505000000000,75000000000,-97000000000,530000000000,45000000000,280000000000,15000000000,80000000000,-30000000000,-30000000000,792656252,annual_reports_fy2023,NGN
ACCESSCORP,2022-12-31,ANNUAL,820000000000,380000000000,196000000000,13200000000000,950000000000,2000000000000,900000000000,350000000000,-30000000000,-60000000000,53317838433,annual_reports_fy2023,NGN
ACCESSCORP,2023-12-31,ANNUAL,1700000000000,780000000000,529000000000,19600000000000,1500000000000,3000000000000,1400000000000,600000000000,-45000000000,-85000000000,53317838433,annual_reports_fy2023,NGN
UBA,2022-12-31,ANNUAL,680000000000,400000000000,213000000000,10800000000000,900000000000,1500000000000,800000000000,350000000000,-30000000000,-68000000000,44196175305,annual_reports_fy2023,NGN
UBA,2023-12-31,ANNUAL,1400000000000,850000000000,609000000000,15200000000000,1400000000000,2000000000000,1100000000000,550000000000,-40000000000,-100000000000,44196175305,annual_reports_fy2023,NGN
FIRSTHOLDCO,2022-12-31,ANNUAL,580000000000,250000000000,151000000000,10500000000000,780000000000,1200000000000,550000000000,250000000000,-20000000000,-50000000000,44453693133,annual_reports_fy2023,NGN
FIRSTHOLDCO,2023-12-31,ANNUAL,1100000000000,500000000000,350000000000,14500000000000,1200000000000,1800000000000,800000000000,400000000000,-30000000000,-70000000000,44453693133,annual_reports_fy2023,NGN
STANBIC,2022-12-31,ANNUAL,250000000000,95000000000,63000000000,2500000000000,350000000000,250000000000,200000000000,80000000000,-10000000000,-30000000000,15901769246,annual_reports_fy2023,NGN
STANBIC,2023-12-31,ANNUAL,410000000000,165000000000,115000000000,3800000000000,480000000000,350000000000,300000000000,120000000000,-15000000000,-45000000000,15901769246,annual_reports_fy2023,NGN
GEREGU,2022-12-31,ANNUAL,92000000000,38000000000,30000000000,210000000000,130000000000,35000000000,18000000000,40000000000,-10000000000,-20000000000,2500000000,annual_reports_fy2023,NGN
GEREGU,2023-12-31,ANNUAL,135000000000,55000000000,40000000000,280000000000,160000000000,50000000000,25000000000,50000000000,-15000000000,-25000000000,2500000000,annual_reports_fy2023,NGN
BUAFOODS,2022-12-31,ANNUAL,280000000000,100000000000,72000000000,460000000000,280000000000,80000000000,30000000000,95000000000,-40000000000,-36000000000,18000000000,annual_reports_fy2023,NGN
BUAFOODS,2023-12-31,ANNUAL,466000000000,160000000000,102000000000,650000000000,350000000000,120000000000,40000000000,130000000000,-60000000000,-50000000000,18000000000,annual_reports_fy2023,NGN
NB,2022-12-31,ANNUAL,480000000000,30000000000,-35000000000,500000000000,120000000000,200000000000,30000000000,60000000000,-20000000000,,30983026920,annual_reports_fy2023,NGN
NB,2023-12-31,ANNUAL,612000000000,18000000000,-88000000000,620000000000,85000000000,300000000000,25000000000,55000000000,-25000000000,,30983026920,annual_reports_fy2023,NGN
OKOMUOIL,2022-12-31,ANNUAL,95000000000,42000000000,30000000000,160000000000,115000000000,12000000000,10000000000,38000000000,-15000000000,-10000000000,953910000,annual_reports_fy2023,NGN
OKOMUOIL,2023-12-31,ANNUAL,120000000000,55000000000,37000000000,190000000000,140000000000,15000000000,12000000000,45000000000,-20000000000,-12000000000,953910000,annual_reports_fy2023,NGN
PRESCO,2022-12-31,ANNUAL,88000000000,40000000000,28000000000,150000000000,105000000000,15000000000,6000000000,35000000000,-12000000000,-8000000000,1166666667,annual_reports_fy2023,NGN
PRESCO,2023-12-31,ANNUAL,112000000000,52000000000,38000000000,180000000000,130000000000,18000000000,8000000000,42000000000,-15000000000,-10000000000,1166666667,annual_reports_fy2023,NGN
FCMB,2022-12-31,ANNUAL,265000000000,90000000000,50000000000,3200000000000,270000000000,380000000000,280000000000,70000000000,-8000000000,-15000000000,42771706274,annual_reports_fy2023,NGN
FCMB,2023-12-31,ANNUAL,450000000000,180000000000,115000000000,4700000000000,380000000000,520000000000,400000000000,100000000000,-12000000000,-25000000000,42771706274,annual_reports_fy2023,NGN
TRANSCORP,2022-12-31,ANNUAL,155000000000,38000000000,22000000000,650000000000,155000000000,220000000000,30000000000,55000000000,-25000000000,-8000000000,10161997574,annual_reports_fy2023,NGN
TRANSCORP,2023-12-31,ANNUAL,240000000000,65000000000,43000000000,850000000000,200000000000,300000000000,45000000000,80000000000,-35000000000,-15000000000,10161997574,annual_reports_fy2023,NGN
JBERGER,2022-12-31,ANNUAL,340000000000,18000000000,10000000000,400000000000,75000000000,90000000000,25000000000,18000000000,-15000000000,-5000000000,1600000000,annual_reports_fy2023,NGN
JBERGER,2023-12-31,ANNUAL,475000000000,28000000000,17000000000,520000000000,95000000000,120000000000,35000000000,25000000000,-20000000000,-8000000000,1600000000,annual_reports_fy2023,NGN
CUSTODIAN,2022-12-31,ANNUAL,82000000000,28000000000,20000000000,250000000000,65000000000,18000000000,30000000000,25000000000,-4000000000,-8000000000,5881864195,annual_reports_fy2023,NGN
CUSTODIAN,2023-12-31,ANNUAL,120000000000,42000000000,32000000000,320000000000,85000000000,25000000000,40000000000,35000000000,-5000000000,-12000000000,5881864195,annual_reports_fy2023,NGN
UCAP,2022-12-31,ANNUAL,85000000000,48000000000,38000000000,300000000000,150000000000,55000000000,35000000000,45000000000,-5000000000,-18000000000,18000000000,annual_reports_fy2023,NGN
UCAP,2023-12-31,ANNUAL,145000000000,85000000000,68000000000,420000000000,200000000000,80000000000,50000000000,70000000000,-8000000000,-30000000000,18000000000,annual_reports_fy2023,NGN
CADBURY,2022-12-31,ANNUAL,62000000000,6000000000,3000000000,75000000000,22000000000,22000000000,4000000000,8000000000,-3000000000,-2000000000,2280284619,annual_reports_fy2023,NGN
CADBURY,2023-12-31,ANNUAL,85000000000,10000000000,6000000000,95000000000,28000000000,30000000000,5000000000,12000000000,-4000000000,-3000000000,2280284619,annual_reports_fy2023,NGN
UNILEVER,2022-12-31,ANNUAL,72000000000,-5000000000,-10000000000,95000000000,25000000000,35000000000,6000000000,8000000000,-4000000000,,5745005417,annual_reports_fy2023,NGN
UNILEVER,2023-12-31,ANNUAL,95000000000,-8000000000,-15000000000,120000000000,18000000000,50000000000,8000000000,10000000000,-5000000000,,5745005417,annual_reports_fy2023,NGN
MANSARD,2022-12-31,ANNUAL,100000000000,22000000000,15000000000,290000000000,60000000000,15000000000,22000000000,18000000000,-4000000000,-5000000000,9000000000,annual_reports_fy2023,NGN
MANSARD,2023-12-31,ANNUAL,145000000000,35000000000,24000000000,380000000000,80000000000,20000000000,30000000000,25000000000,-6000000000,-8000000000,9000000000,annual_reports_fy2023,NGN
VITAFOAM,2022-09-30,ANNUAL,56000000000,6000000000,3500000000,68000000000,27000000000,16000000000,2500000000,7000000000,-4000000000,-2000000000,1501012877,annual_reports_fy2023,NGN
VITAFOAM,2023-09-30,ANNUAL,75000000000,8500000000,5000000000,85000000000,32000000000,20000000000,3000000000,10000000000,-5000000000,-2500000000,1501012877,annual_reports_fy2023,NGN
NAHCO,2022-12-31,ANNUAL,25000000000,6000000000,3500000000,35000000000,14000000000,6000000000,3000000000,7000000000,-2000000000,-1500000000,1949062500,annual_reports_fy2023,NGN
NAHCO,2023-12-31,ANNUAL,35000000000,9000000000,6000000000,45000000000,18000000000,8000000000,4000000000,10000000000,-3000000000,-2000000000,1949062500,annual_reports_fy2023,NGN
