symbol,period_end_date,period_type,revenue,operating_profit,net_income,total_assets,total_equity,total_debt,cash,operating_cash_flow,capex,dividends_paid,shares_outstanding,source,currency
DANGCEM,2022-12-31,ANNUAL,1971000000000,768000000000,364000000000,2871000000000,1220000000000,532000000000,280000000000,620000000000,180000000000,340000000000,17040507405,annual_reports_2024,NGN
DANGCEM,2023-12-31,ANNUAL,2170000000000,846000000000,402000000000,3100000000000,1350000000000,490000000000,310000000000,710000000000,200000000000,375000000000,17040507405,annual_reports_2024,NGN
GTCO,2022-12-31,ANNUAL,598000000000,285000000000,214000000000,7200000000000,1200000000000,0,1800000000000,350000000000,25000000000,88000000000,29431179224,annual_reports_2024,NGN
GTCO,2023-12-31,ANNUAL,1046000000000,580000000000,509000000000,11800000000000,1750000000000,0,2500000000000,600000000000,30000000000,147000000000,29431179224,annual_reports_2024,NGN
ZENITHBANK,2022-12-31,ANNUAL,837000000000,365000000000,280000000000,11200000000000,1350000000000,0,2100000000000,380000000000,35000000000,100000000000,31396493787,annual_reports_2024,NGN
ZENITHBANK,2023-12-31,ANNUAL,1525000000000,720000000000,577000000000,17500000000000,2100000000000,0,3200000000000,650000000000,45000000000,157000000000,31396493787,annual_reports_2024,NGN
MTNN,2022-12-31,ANNUAL,2069000000000,710000000000,347000000000,2950000000000,430000000000,820000000000,280000000000,750000000000,400000000000,267000000000,20354513050,annual_reports_2024,NGN
MTNN,2023-12-31,ANNUAL,2460000000000,790000000000,180000000000,3800000000000,320000000000,1100000000000,200000000000,850000000000,480000000000,0,20354513050,annual_reports_2024,NGN
AIRTELAFRI,2022-12-31,ANNUAL,1680000000000,620000000000,280000000000,2500000000000,500000000000,700000000000,250000000000,580000000000,350000000000,100000000000,3758151504,annual_reports_2024,NGN
AIRTELAFRI,2023-12-31,ANNUAL,2100000000000,780000000000,350000000000,3200000000000,600000000000,900000000000,300000000000,700000000000,420000000000,120000000000,3758151504,annual_reports_2024,NGN
BUACEMENT,2022-12-31,ANNUAL,488000000000,153000000000,96000000000,1050000000000,580000000000,120000000000,85000000000,160000000000,60000000000,66000000000,33864053600,annual_reports_2024,NGN
BUACEMENT,2023-12-31,ANNUAL,580000000000,190000000000,130000000000,1200000000000,650000000000,100000000000,100000000000,200000000000,70000000000,80000000000,33864053600,annual_reports_2024,NGN
SEPLAT,2022-12-31,ANNUAL,462000000000,180000000000,125000000000,1300000000000,620000000000,380000000000,150000000000,200000000000,120000000000,45000000000,588263636,annual_reports_2024,NGN
SEPLAT,2023-12-31,ANNUAL,520000000000,210000000000,85000000000,1500000000000,580000000000,450000000000,120000000000,180000000000,150000000000,35000000000,588263636,annual_reports_2024,NGN
NESTLE,2022-12-31,ANNUAL,451000000000,76000000000,34000000000,340000000000,52000000000,92000000000,20000000000,55000000000,25000000000,33000000000,792656252,annual_reports_2024,NGN
NESTLE,2023-12-31,ANNUAL,558000000000,85000000000,39000000000,420000000000,58000000000,110000000000,18000000000,60000000000,30000000000,40000000000,792656252,annual_reports_2024,NGN
ACCESSCORP,2022-12-31,ANNUAL,726000000000,290000000000,161000000000,13700000000000,1150000000000,0,1900000000000,280000000000,30000000000,65000000000,35545225622,annual_reports_2024,NGN
ACCESSCORP,2023-12-31,ANNUAL,1350000000000,600000000000,412000000000,21000000000000,1650000000000,0,2800000000000,500000000000,40000000000,100000000000,35545225622,annual_reports_2024,NGN
UBA,2022-12-31,ANNUAL,632000000000,265000000000,172000000000,10800000000000,900000000000,0,1500000000000,300000000000,25000000000,58000000000,34199462563,annual_reports_2024,NGN
UBA,2023-12-31,ANNUAL,1200000000000,550000000000,378000000000,17000000000000,1400000000000,0,2500000000000,550000000000,35000000000,100000000000,34199462563,annual_reports_2024,NGN
FIRSTHOLDCO,2022-12-31,ANNUAL,540000000000,200000000000,102000000000,10300000000000,750000000000,0,1200000000000,200000000000,20000000000,36000000000,35895292792,annual_reports_2024,NGN
FIRSTHOLDCO,2023-12-31,ANNUAL,980000000000,420000000000,280000000000,16000000000000,1200000000000,0,2000000000000,400000000000,28000000000,72000000000,35895292792,annual_reports_2024,NGN
STANBIC,2022-12-31,ANNUAL,210000000000,100000000000,62000000000,2800000000000,380000000000,0,500000000000,80000000000,10000000000,30000000000,12750000000,annual_reports_2024,NGN
STANBIC,2023-12-31,ANNUAL,390000000000,200000000000,131000000000,4500000000000,550000000000,0,800000000000,150000000000,15000000000,52000000000,12750000000,annual_reports_2024,NGN
GEREGU,2022-12-31,ANNUAL,98000000000,52000000000,48000000000,250000000000,180000000000,30000000000,25000000000,45000000000,15000000000,20000000000,2500000000,annual_reports_2024,NGN
GEREGU,2023-12-31,ANNUAL,128000000000,68000000000,62000000000,350000000000,230000000000,40000000000,35000000000,60000000000,20000000000,28000000000,2500000000,annual_reports_2024,NGN
BUAFOODS,2022-12-31,ANNUAL,420000000000,105000000000,80000000000,360000000000,200000000000,50000000000,40000000000,95000000000,35000000000,60000000000,18000000000,annual_reports_2024,NGN
BUAFOODS,2023-12-31,ANNUAL,530000000000,130000000000,100000000000,450000000000,250000000000,45000000000,50000000000,120000000000,40000000000,72000000000,18000000000,annual_reports_2024,NGN
NB,2022-12-31,ANNUAL,480000000000,48000000000,22000000000,520000000000,150000000000,100000000000,30000000000,55000000000,30000000000,15000000000,7932972000,annual_reports_2024,NGN
NB,2023-12-31,ANNUAL,540000000000,42000000000,12000000000,600000000000,130000000000,130000000000,25000000000,50000000000,35000000000,10000000000,7932972000,annual_reports_2024,NGN
OKOMUOIL,2022-12-31,ANNUAL,82000000000,38000000000,28000000000,140000000000,100000000000,10000000000,15000000000,30000000000,12000000000,10000000000,955050000,annual_reports_2024,NGN
OKOMUOIL,2023-12-31,ANNUAL,95000000000,42000000000,32000000000,165000000000,120000000000,8000000000,18000000000,35000000000,15000000000,12000000000,955050000,annual_reports_2024,NGN
PRESCO,2022-12-31,ANNUAL,70000000000,32000000000,24000000000,120000000000,85000000000,8000000000,12000000000,28000000000,10000000000,8000000000,1000000000,annual_reports_2024,NGN
